Date,TOPIX,NASDAQ100,GOLD,JREIT,USDJPY
2020-01-06,154.5426483154297,9569.0615234375,16030.0,1776.775390625,107.96399688720703
2020-01-07,157.17840576171875,9729.044921875,15970.0,1774.455810546875,108.40599822998047
2020-01-08,155.06979370117188,9619.056640625,16250.0,1756.6728515625,108.01599884033203
2020-01-09,157.61770629882812,9899.0283203125,16010.0,1763.6309814453125,109.03099822998047
2020-01-10,158.14486694335938,10029.015625,15960.0,1765.9503173828125,109.50700378417969
2020-01-14,158.58413696289062,10089.0087890625,15930.0,1768.2708740234375,109.99199676513672
2020-01-15,157.7934112548828,10029.015625,16070.0,1765.177490234375,109.85399627685547
2020-01-16,157.4419708251953,10099.0078125,16070.0,1776.00244140625,109.88300323486328
2020-01-17,158.14486694335938,10198.9990234375,16150.0,1788.3731689453125,110.17500305175781
2020-01-20,158.7598419189453,10238.99609375,16190.0,1795.3316650390625,110.18000030517578
2020-01-21,158.14486694335938,10159.0029296875,16210.0,1789.1463623046875,110.1729965209961
2020-01-22,159.1112823486328,10288.990234375,16080.0,1806.1563720703125,109.90799713134766
2020-01-23,157.4419708251953,10169.0029296875,16070.0,1805.383056640625,109.72799682617188
2020-01-24,157.61770629882812,10258.9931640625,16090.0,1816.2080078125,109.552001953125
2020-01-27,154.89410400390625,9949.0234375,16220.0,1812.3419189453125,108.802001953125
2020-01-28,154.01551818847656,9969.0224609375,16190.0,1813.114990234375,108.91999816894531
2020-01-29,154.63050842285156,10089.0087890625,16090.0,1820.8465576171875,109.13200378417969
2020-01-30,152.5219268798828,9989.01953125,16180.0,1827.80517578125,108.98699951171875
2020-01-31,153.48837280273438,10169.0029296875,16130.0,1843.268798828125,108.87699890136719
2020-02-03,152.25836181640625,9979.021484375,16140.0,1824.712890625,108.37200164794922
2020-02-04,153.48837280273438,10119.0068359375,16100.0,1824.712890625,108.61199951171875
2020-02-05,155.06979370117188,10308.9892578125,16060.0,1830.898193359375,109.4469985961914
2020-02-06,158.2327117919922,10498.9697265625,16090.0,1828.5791015625,109.81400299072266
2020-02-07,157.61770629882812,10468.9716796875,16190.0,1826.2593994140625,109.96800231933594
2020-02-10,156.65126037597656,10448.974609375,16250.0,1838.1080322265625,109.6449966430664
2020-02-12,156.47555541992188,10628.9560546875,16180.0,1844.34423828125,109.84300231933594
2020-02-13,155.86053466796875,10648.9560546875,16270.0,1850.5799560546875,109.84600067138672
2020-02-14,155.15765380859375,10728.9482421875,16280.0,1852.1392822265625,109.75800323486328
2020-02-17,153.8397979736328,10778.9423828125,16350.0,1855.2568359375,109.79100036621094
2020-02-18,151.64334106445312,10638.9560546875,16390.0,1862.2725830078125,109.83000183105469
2020-02-19,152.1704864501953,10798.9404296875,16610.0,1859.1544189453125,109.91899871826172
2020-02-20,152.5219268798828,10988.921875,16870.0,1866.94970703125,111.20999908447266
2020-02-21,152.43406677246094,10848.9365234375,17170.0,1865.39111328125,111.9540023803711
2020-02-25,147.33828735351562,10688.951171875,17410.0,1845.903076171875,110.85700225830078
2020-02-26,146.37184143066406,9979.021484375,17060.0,1817.060791015625,110.28600311279297
2020-02-27,142.68179321289062,9749.04296875,17100.0,1785.1005859375,110.36299896240234
2020-02-28,137.5860137939453,9089.1064453125,16700.0,1682.983154296875,109.66000366210938
2020-03-02,138.90390014648438,9349.0830078125,16340.0,1677.526611328125,107.6969985961914
2020-03-03,137.14674377441406,9569.0615234375,16200.0,1702.4715576171875,108.48699951171875
2020-03-04,136.79530334472656,9489.068359375,16620.0,1720.400146484375,107.03700256347656
2020-03-05,138.46461486816406,9649.052734375,16540.0,1758.5968017578125,107.677001953125
2020-03-06,133.9838409423828,9159.1015625,16740.0,1710.2667236328125,106.24800109863281
2020-03-09,126.42803192138672,8369.177734375,16250.0,1641.668701171875,103.93800354003906
2020-03-10,128.1851806640625,8789.138671875,16250.0,1585.543212890625,103.11199951171875
2020-03-11,126.07656860351562,8559.158203125,16270.0,1595.6766357421875,105.0260009765625
2020-03-12,120.98079681396484,8089.2060546875,15990.0,1484.9853515625,104.55000305175781
2020-03-13,114.74288177490234,7889.2265625,15750.0,1387.5452880859375,104.61000061035156
2020-03-16,112.01927185058594,7929.22216796875,15510.0,1311.931884765625,106.68800354003906
2020-03-17,115.6214599609375,7959.21923828125,15030.0,1289.32568359375,106.17500305175781
2020-03-18,116.67574310302734,7629.25146484375,15280.0,1236.3187255859375,107.37699890136719
2020-03-19,117.73005676269531,7749.2392578125,15040.0,965.0455322265625,108.36000061035156
2020-03-23,118.96007537841797,7519.26220703125,15460.0,1099.123046875,110.46199798583984
2020-03-24,121.42009735107422,8089.2060546875,16300.0,1283.0897216796875,110.8270034790039
2020-03-25,129.59091186523438,8559.158203125,16980.0,1403.1357421875,111.12000274658203
2020-03-26,127.92162322998047,8319.18359375,16630.0,1292.4439697265625,110.8759994506836
2020-03-27,132.49024963378906,8549.162109375,16680.0,1294.002685546875,109.10900115966797
2020-03-30,132.6659698486328,8399.17578125,16410.0,1286.9871826171875,107.41300201416016
2020-03-31,129.4152069091797,8629.1533203125,16460.0,1308.8135986328125,108.03500366210938
2020-04-01,124.31941223144531,8279.1875,16000.0,1243.3341064453125,107.50800323486328
2020-04-02,122.73796844482422,8199.1943359375,15990.0,1214.4915771484375,107.25700378417969
2020-04-03,122.6501235961914,8289.1865234375,16310.0,1203.578857421875,108.0009994506836
2020-04-06,127.21873474121094,8659.1494140625,16610.0,1187.98828125,108.69300079345703
2020-04-07,129.59091186523438,8909.1259765625,16960.0,1265.1605224609375,109.11499786376953
2020-04-08,131.69949340820312,8999.1171875,16840.0,1309.59326171875,108.6510009765625
2020-04-09,130.55735778808594,9039.11328125,16870.0,1287.766845703125,108.9219970703125
2020-04-10,132.0509490966797,9079.109375,17180.0,1284.6485595703125,108.56099700927734
2020-04-13,129.4152069091797,8869.130859375,17080.0,1290.105224609375,108.33599853515625
2020-04-14,132.0509490966797,9269.091796875,17350.0,1298.6800537109375,107.62300109863281
2020-04-15,132.49024963378906,9399.0771484375,17330.0,1282.31005859375,107.10399627685547
2020-04-16,131.2602081298828,9429.07421875,17390.0,1294.002685546875,107.60900115966797
2020-04-17,132.92953491210938,9769.041015625,17170.0,1315.8294677734375,107.94499969482422
2020-04-20,132.22666931152344,9619.056640625,17050.0,1331.4197998046875,107.66999816894531
2020-04-21,130.64520263671875,9459.0712890625,17100.0,1283.869140625,107.66899871826172
2020-04-22,129.5030517578125,9279.08984375,17050.0,1283.0897216796875,107.72100067138672
2020-04-23,131.34808349609375,9439.07421875,17410.0,1315.8294677734375,107.81300354003906
2020-04-24,131.08450317382812,9319.0859375,17490.0,1303.3572998046875,107.66699981689453
2020-04-27,133.28097534179688,9659.05078125,17350.0,1322.844970703125,107.49500274658203
2020-04-28,133.72024536132812,9619.056640625,17080.0,1308.0340576171875,107.28299713134766
2020-04-30,134.68667602539062,9859.0322265625,17210.0,1324.4046630859375,106.61000061035156
2020-05-01,131.96307373046875,9569.0615234375,16890.0,1317.3885498046875,107.28500366210938
2020-05-07,131.78738403320312,9729.044921875,16900.0,1303.3572998046875,106.19100189208984
2020-05-08,134.3352508544922,9959.0224609375,17190.0,1402.5791015625,106.35900115966797
2020-05-11,136.44386291503906,10019.015625,17140.0,1406.5164794921875,106.91899871826172
2020-05-12,136.18028259277344,10109.0078125,17170.0,1378.166015625,107.56600189208984
2020-05-13,135.91671752929688,9889.0302734375,17190.0,1346.664794921875,107.13800048828125
2020-05-14,133.4566650390625,9719.046875,17220.0,1323.0390625,106.93299865722656
2020-05-15,134.3352508544922,9869.0322265625,17490.0,1308.075927734375,107.36499786376953
2020-05-18,134.68667602539062,9959.0224609375,17780.0,1319.1015625,107.20800018310547
2020-05-19,136.97100830078125,10149.00390625,17560.0,1337.2147216796875,107.38099670410156
2020-05-20,137.76173400878906,10208.9990234375,17740.0,1346.664794921875,107.80999755859375
2020-05-21,137.6738739013672,10308.9892578125,17640.0,1352.9652099609375,107.59100341796875
2020-05-22,136.18028259277344,10119.0068359375,17490.0,1353.7525634765625,107.63099670410156
2020-05-25,138.55245971679688,10328.986328125,17460.0,1381.31591796875,107.73500061035156
2020-05-26,141.6274871826172,10478.9716796875,17580.0,1397.0662841796875,107.68699645996094
2020-05-27,142.85752868652344,10328.986328125,17250.0,1410.4541015625,107.49099731445312
2020-05-28,145.84469604492188,10298.9892578125,17440.0,1403.366455078125,107.7979965209961
2020-05-29,144.0875244140625,10238.99609375,17360.0,1434.8675537109375,107.64299774169922
2020-06-01,144.6147003173828,10408.9794921875,17630.0,1409.6668701171875,107.70800018310547
